    0    0
    1     0.000     0.000    1    0
    2     0.000     0.200    2    0
    3     0.200     0.000    3    0
    4     0.200     0.200    0    0
    5     0.000     0.400    2    0
    6     0.400     0.000    3    0
    7     0.400     0.200    0    0
    8     0.200     0.400    0    0
    9     0.400     0.400    0    0
   10     0.600     0.000    3    0
   11     0.000     0.600    2    0
   12     0.600     0.200    0    0
   13     0.200     0.600    0    0
   14     0.400     0.600    0    0
   15     0.600     0.400    0    0
   16     0.000     0.800    2    0
   17     0.800     0.000    3    0
   18     0.800     0.200    0    0
   19     0.200     0.800    0    0
   20     0.600     0.600    0    0
   21     0.400     0.800    0    0
   22     0.800     0.400    0    0
   23     0.800     0.600    0    0
   24     1.000     0.000    4    0
   25     0.600     0.800    0    0
   26     0.000     1.000    8    0
   27     1.000     0.200    6    0
   28     0.200     1.000    5    0
   29     0.400     1.000    5    0
   30     1.000     0.400    6    0
   31     0.800     0.800    0    0
   32     1.000     0.600    6    0
   33     0.600     1.000    5    0
   34     1.000     0.800    6    0
   35     0.800     1.000    5    0
   36     1.000     1.000    7    0
    1    1    2   16   19   28   26    0    0    0    0
    2    1    2   11   13   19   16    0    0    0    0
    3    1    2    5    8   13   11    0    0    0    0
    4    1    2    2    4    8    5    0    0    0    0
    5    1    2    1    3    4    2    0    0    0    0
    6    1    2   19   21   29   28    0    0    0    0
    7    1    2   13   14   21   19    0    0    0    0
    8    1    2    8    9   14   13    0    0    0    0
    9    1    2    4    7    9    8    0    0    0    0
   10    1    2    3    6    7    4    0    0    0    0
   11    1    2   21   25   33   29    0    0    0    0
   12    1    2   14   20   25   21    0    0    0    0
   13    1    2    9   15   20   14    0    0    0    0
   14    1    2    7   12   15    9    0    0    0    0
   15    1    2    6   10   12    7    0    0    0    0
   16    1    2   25   31   35   33    0    0    0    0
   17    1    2   20   23   31   25    0    0    0    0
   18    1    2   15   22   23   20    0    0    0    0
   19    1    2   12   18   22   15    0    0    0    0
   20    1    2   10   17   18   12    0    0    0    0
   21    1    2   31   34   36   35    0    0    0    0
   22    1    2   23   32   34   31    0    0    0    0
   23    1    2   22   30   32   23    0    0    0    0
   24    1    2   18   27   30   22    0    0    0    0
   25    1    2   17   24   27   18    0    0    0    0
   1.       27.        1.
   2.       28.        1.
   3.       29.        1.
   4.       30.        1.
   5.       31.        1.
   6.       32.        0.
   7.       33.        1.
   8.       34.        0.
   9.       35.        0.
  10.       36.        1.
  11.       37.        1.
  12.       38.        1.
  13.       39.        1.
  14.       40.        1.
  15.       41.        1.
  16.       42.        1.
  17.       43.        1.
  18.        1.        0.
  19.        0.        1.
  20.        1.        0.
  21.        1.        0.
  22.        0.        1.
  23.        1.        1.
  24.        1.        1.
  25.        0.        1.
  26.        1.        0.
  27.        1.        0.
  28.        1.        1.
  29.        1.        1.
  30.        1.        0.
  31.        1.        1.
  32.        0.        1.
  33.        1.        0.
  34.        0.        1.
  35.        0.        1.
  36.        1.        0.
  37.        1.        0.
  38.        1.        1.
  39.        1.        1.
  40.        1.        1.
  41.        1.        1.
  42.        1.        1.
  43.        1.        1.
